date,start_of_month,month_name,day_type
2/21/2024,2/1/2024,February,Weekday
2/22/2024,2/1/2024,February,Weekday
2/23/2024,2/1/2024,February,Weekday
2/24/2024,2/1/2024,February,Weekend
2/25/2024,2/1/2024,February,Weekend
2/26/2024,2/1/2024,February,Weekday
2/27/2024,2/1/2024,February,Weekday
2/28/2024,2/1/2024,February,Weekday
2/29/2024,2/1/2024,February,Weekday
3/1/2024,3/1/2024,March,Weekday
3/2/2024,3/1/2024,March,Weekend
3/3/2024,3/1/2024,March,Weekend
3/4/2024,3/1/2024,March,Weekday
3/5/2024,3/1/2024,March,Weekday
3/6/2024,3/1/2024,March,Weekday
3/7/2024,3/1/2024,March,Weekday
3/8/2024,3/1/2024,March,Weekday
3/9/2024,3/1/2024,March,Weekend
3/10/2024,3/1/2024,March,Weekend
3/11/2024,3/1/2024,March,Weekday
3/12/2024,3/1/2024,March,Weekday
3/13/2024,3/1/2024,March,Weekday
3/14/2024,3/1/2024,March,Weekday
3/15/2024,3/1/2024,March,Weekday
3/16/2024,3/1/2024,March,Weekend
3/17/2024,3/1/2024,March,Weekend
3/18/2024,3/1/2024,March,Weekday
3/19/2024,3/1/2024,March,Weekday
3/20/2024,3/1/2024,March,Weekday
3/21/2024,3/1/2024,March,Weekday
3/22/2024,3/1/2024,March,Weekday
3/23/2024,3/1/2024,March,Weekend
3/24/2024,3/1/2024,March,Weekend
3/25/2024,3/1/2024,March,Weekday
3/26/2024,3/1/2024,March,Weekday
3/27/2024,3/1/2024,March,Weekday
3/28/2024,3/1/2024,March,Weekday
3/29/2024,3/1/2024,March,Weekday
3/30/2024,3/1/2024,March,Weekend
3/31/2024,3/1/2024,March,Weekend
4/1/2024,4/1/2024,April,Weekday
4/2/2024,4/1/2024,April,Weekday
4/3/2024,4/1/2024,April,Weekday
4/4/2024,4/1/2024,April,Weekday
4/5/2024,4/1/2024,April,Weekday
4/6/2024,4/1/2024,April,Weekend
4/7/2024,4/1/2024,April,Weekend
4/8/2024,4/1/2024,April,Weekday
4/9/2024,4/1/2024,April,Weekday
4/10/2024,4/1/2024,April,Weekday
4/11/2024,4/1/2024,April,Weekday
4/12/2024,4/1/2024,April,Weekday
4/13/2024,4/1/2024,April,Weekend
4/14/2024,4/1/2024,April,Weekend
4/15/2024,4/1/2024,April,Weekday
4/16/2024,4/1/2024,April,Weekday
4/17/2024,4/1/2024,April,Weekday
4/18/2024,4/1/2024,April,Weekday
4/19/2024,4/1/2024,April,Weekday
4/20/2024,4/1/2024,April,Weekend
4/21/2024,4/1/2024,April,Weekend
4/22/2024,4/1/2024,April,Weekday
4/23/2024,4/1/2024,April,Weekday
4/24/2024,4/1/2024,April,Weekday
4/25/2024,4/1/2024,April,Weekday
4/26/2024,4/1/2024,April,Weekday
4/27/2024,4/1/2024,April,Weekend
4/28/2024,4/1/2024,April,Weekend
4/29/2024,4/1/2024,April,Weekday
4/30/2024,4/1/2024,April,Weekday
5/1/2024,5/1/2024,May,Weekday
5/2/2024,5/1/2024,May,Weekday
5/3/2024,5/1/2024,May,Weekday
5/4/2024,5/1/2024,May,Weekend
5/5/2024,5/1/2024,May,Weekend
5/6/2024,5/1/2024,May,Weekday
5/7/2024,5/1/2024,May,Weekday
5/8/2024,5/1/2024,May,Weekday
5/9/2024,5/1/2024,May,Weekday
5/10/2024,5/1/2024,May,Weekday
5/11/2024,5/1/2024,May,Weekend
5/12/2024,5/1/2024,May,Weekend
5/13/2024,5/1/2024,May,Weekday
5/14/2024,5/1/2024,May,Weekday
5/15/2024,5/1/2024,May,Weekday
5/16/2024,5/1/2024,May,Weekday
5/17/2024,5/1/2024,May,Weekday
5/18/2024,5/1/2024,May,Weekend
5/19/2024,5/1/2024,May,Weekend
5/20/2024,5/1/2024,May,Weekday
5/21/2024,5/1/2024,May,Weekday
5/22/2024,5/1/2024,May,Weekday
5/23/2024,5/1/2024,May,Weekday
5/24/2024,5/1/2024,May,Weekday
5/25/2024,5/1/2024,May,Weekend
5/26/2024,5/1/2024,May,Weekend
5/27/2024,5/1/2024,May,Weekday
5/28/2024,5/1/2024,May,Weekday
5/29/2024,5/1/2024,May,Weekday
5/30/2024,5/1/2024,May,Weekday
5/31/2024,5/1/2024,May,Weekday
6/1/2024,6/1/2024,June,Weekend
6/2/2024,6/1/2024,June,Weekend
6/3/2024,6/1/2024,June,Weekday
6/4/2024,6/1/2024,June,Weekday
6/5/2024,6/1/2024,June,Weekday
6/6/2024,6/1/2024,June,Weekday
6/7/2024,6/1/2024,June,Weekday
6/8/2024,6/1/2024,June,Weekend
6/9/2024,6/1/2024,June,Weekend
6/10/2024,6/1/2024,June,Weekday
6/11/2024,6/1/2024,June,Weekday
6/12/2024,6/1/2024,June,Weekday
6/13/2024,6/1/2024,June,Weekday
6/14/2024,6/1/2024,June,Weekday
6/15/2024,6/1/2024,June,Weekend
6/16/2024,6/1/2024,June,Weekend
6/17/2024,6/1/2024,June,Weekday
6/18/2024,6/1/2024,June,Weekday
6/19/2024,6/1/2024,June,Weekday
6/20/2024,6/1/2024,June,Weekday
6/21/2024,6/1/2024,June,Weekday
6/22/2024,6/1/2024,June,Weekend
6/23/2024,6/1/2024,June,Weekend
6/24/2024,6/1/2024,June,Weekday
6/25/2024,6/1/2024,June,Weekday
6/26/2024,6/1/2024,June,Weekday
6/27/2024,6/1/2024,June,Weekday
6/28/2024,6/1/2024,June,Weekday
6/29/2024,6/1/2024,June,Weekend
6/30/2024,6/1/2024,June,Weekend
